#MasterID Mag Magerr RA Dec MJD Blend
1123012062523 17.44 0.09 35.38872 25.21330 54140.10273 0
1123012062523 17.47 0.09 35.38872 25.21317 54140.10915 0
1123012062523 17.23 0.09 35.38880 25.21310 54158.09745 0
1123012062523 17.37 0.09 35.38884 25.21329 54158.10149 0
1123012062523 17.22 0.09 35.38892 25.21348 54158.10554 0
1123012062523 17.24 0.09 35.38874 25.21337 54158.10958 0
1123012062523 17.43 0.10 35.38883 25.21326 54110.15167 0
1123012062523 17.38 0.09 35.38885 25.21316 54110.15865 0
1123012062523 17.42 0.09 35.38878 25.21326 54110.16568 0
1123012062523 17.47 0.09 35.38876 25.21321 54110.17267 0
1123012062523 17.43 0.09 35.38882 25.21316 54116.21321 0
1123012062523 17.28 0.09 35.38887 25.21318 54116.21994 0
1123012062523 17.48 0.09 35.38872 25.21326 54116.22676 0
1123012062523 17.44 0.09 35.38880 25.21327 54116.23357 0
1123012062523 17.44 0.09 35.38887 25.21329 54405.26289 0
1123012062523 17.45 0.10 35.38880 25.21330 54405.27178 0
1123012062523 17.38 0.10 35.38879 25.21322 54405.27925 0
1123012062523 17.39 0.09 35.38881 25.21335 54405.29379 0
1123012062523 17.40 0.09 35.38885 25.21318 54416.20233 0
1123012062523 17.47 0.09 35.38886 25.21329 54416.20974 0
1123012062523 17.41 0.09 35.38875 25.21323 54416.21719 0
1123012062523 17.51 0.09 35.38887 25.21330 54416.22463 0
1123012062523 17.46 0.09 35.38878 25.21334 54381.33960 0
1123012062523 17.51 0.09 35.38883 25.21332 54381.35235 0
1123012062523 17.40 0.09 35.38885 25.21320 54381.36509 0
1123012062523 17.44 0.09 35.38885 25.21330 54381.37783 0
1123012062523 17.43 0.09 35.38893 25.21332 54387.38718 0
1123012062523 17.48 0.09 35.38888 25.21332 54387.39601 0
1123012062523 17.52 0.09 35.38879 25.21325 54387.40485 0
1123012062523 17.46 0.09 35.38882 25.21327 54387.41362 0
