#_RAJ2000,_DEJ2000,DE2000,RA2000,HD,Pol,e_Pol,PA,e_PA,GLON,GLAT,PolRefs
104.54139,-36.2751,-36 16 30.4,06 58 09.934,52057.0,0.93,0.08,29.8,2.5,246.6288,-14.4023,0000000001000000000000
230.45181,-36.2611,-36 15 40.0,15 21 48.438,136422.0,0.1,0.035,68.8,9.9,333.9603,17.393,0000000000001000000000
170.80293,-36.1647,-36 09 52.9,11 23 12.703,98993.0,0.34,0.035,87.8,2.9,283.6458,23.381,0000000000001000000000
124.76623,-36.1456,-36 08 44.2,08 19 03.896,0.0,1.39,0.1,125.2,2.1,254.4099,-0.0468,0000000000000100000000
124.725,-36.1166,-36 06 59.8,08 18 54.000,0.0,0.37,0.1,48.0,7.7,254.3671,-0.0579,0000000000000100000000
56.95668,-36.1058,-36 06 20.9,03 47 49.603,23958.0,0.023,0.016,103.8,19.2,237.74,-51.7292,0000000100000000000000
184.44707,-36.0939,-36 05 38.0,12 17 47.296,106922.0,0.04,0.035,115.7,23.6,295.3558,26.2823,0000000000001000000000
256.67078,-36.0779,-36 04 40.4,17 06 40.986,154385.0,0.54,0.1,55.6,5.3,349.494,2.8044,0000000000000100000000
260.21942,-36.0723,-36 04 20.3,17 20 52.660,156738.0,1.88,0.1,172.4,1.5,351.1784,0.4825,0000000000000100000000
171.37305,-36.0631,-36 03 47.2,11 25 29.532,99322.0,0.03,0.035,161.4,30.3,284.0744,23.6416,0000000000001000000000
269.8682,-36.0209,-36 01 15.2,17 59 28.363,163758.0,1.48,0.1,2.7,1.9,355.3605,-6.1043,0000000000000100000000
276.8467,-36.0159,-36 00 57.2,18 27 23.209,169679.0,0.9,0.1,153.2,3.2,357.9938,-11.1115,0000000000000100000000
276.34042,-35.992,-35 59 31.2,18 25 21.698,169236.0,0.12,0.035,17.1,8.3,357.8348,-10.7321,0000000000001000000000
0.85276,-35.9651,-35 57 54.4,00 03 24.664,225100.0,0.18,0.096,145.0,14.9,349.0901,-76.5004,0000000000001000000000
48.25621,-35.9437,-35 56 37.3,03 13 01.492,20144.0,0.084,0.01,167.3,3.4,238.2138,-58.7602,0000000000101000000000
255.15414,-35.9339,-35 56 02.0,17 00 36.994,153368.0,0.02,0.035,57.2,41.2,348.8626,3.8667,0000000000001000000000
256.40363,-35.9293,-35 55 45.5,17 05 36.870,154217.0,0.85,0.1,16.5,3.4,349.4827,3.0664,0000000000000100000000
260.65793,-35.9109,-35 54 39.2,17 22 37.906,157060.0,0.03,0.035,51.5,30.3,351.5129,0.2823,0000000000001000000000
176.77924,-35.9067,-35 54 24.1,11 47 07.019,102397.0,0.03,0.035,24.9,30.3,288.5801,25.166,0000000000001000000000
