#   RA        DEC        GLON        GLAT    Pol   e_Pol  EVPA  e_EVPA  galPA
#  1-  9  F9.5  deg     RAdeg    Right Ascension (J2000) (1)
# 13- 20  F8.5  deg     DEdeg    Declination (J2000) (1)
# 24- 32  F9.5  deg     GLON     Galactic longitude (1)
# 36- 43  F8.5  deg     GLAT     Galactic latitude (1)
# 47- 49  F3.1  %       Pol      [0.5/4.5] Polarization degree percentage (2)
# 53- 55  F3.1  %     e_Pol      [0.2/1.9] Error in polarization degree
# 59- 61  I3    deg     EVPA     [-90/90] Electric vector polarization angle (3)
# 65- 66  I2    deg   e_EVPA     [2/19] Error in EVPA
# 70- 72  I3    deg     galPA    [0/180] Galactic polarization angle (4)
 45.89419   89.10518   123.47641   26.37704   0.8   0.3   -47   12   100
 47.10558   89.70230   123.11975   26.88204   1.0   0.3    81   10    47
 47.26021   88.73683   123.72648   26.08377   1.4   0.4   -50   10    95
 47.26852   88.73791   123.72597   26.08477   1.4   0.5   -34    8   111
 47.38165   87.28154   124.62974   24.87835   0.7   0.3   -81   10    64
 49.62114   87.25547   124.74270   24.91798   1.0   0.4    82   13    46
 52.07728   87.25510   124.84631   24.98875   0.8   0.2   -55    8    85
 52.22620   89.12168   123.55414   26.44785   1.0   0.3   -50    7    90
 52.32151   89.04485   123.60959   26.38921   1.0   0.3   -28   10   111
 52.33646   89.04430   123.61019   26.38894   1.1   0.3   -32    6   107
 52.37136   87.17066   124.91664   24.93157   0.8   0.3   -70    8    70
 52.44532   89.26654   123.45446   26.56203   1.2   0.3   -27    7   113
 53.11504   88.61702   123.92678   26.06931   0.7   0.2   -50    8    89
 53.22801   89.12683   123.56365   26.46158   1.7   0.4   -40    5    99
 53.33442   87.15048   124.97150   24.94601   0.8   0.3   -71    9    69
 53.52076   88.90914   123.72475   26.29853   0.9   0.4   -23   10   116
 53.70484   87.39511   124.81362   25.14524   0.7   0.3    79   11    39
 53.78514   87.71787   124.58659   25.39432   1.4   0.5    44    7     4
 54.20758   88.46999   124.05622   25.97520   1.1   0.4    44    7     3
 54.35352   88.64990   123.92807   26.11349   0.9   0.4   -33    9   105
 54.58163   88.01076   124.40022   25.63592   1.6   0.5    36    6   175
 55.04747   88.89491   123.75978   26.30702   1.3   0.4   -35    6   102
 55.82489   87.58133   124.75575   25.34663   1.2   0.2    55    5    13
 57.17098   87.61048   124.77965   25.40639   1.7   0.6    33    9   170
 57.30755   87.56668   124.81767   25.37861   1.9   0.4    64    5    21
 57.68990   88.05080   124.45737   25.73768   0.5   0.2    23   11   159
 58.57581   87.76235   124.70738   25.55478   1.0   0.3    38    8   173
 60.08024   87.08141   125.29764   25.12631   0.8   0.2    29    7   163
 60.68284   87.47477   125.00366   25.41764   1.0   0.3    48    6     2
 60.69095   87.17394   125.24677   25.21220   0.8   0.3   -33    8   100
 60.71427   89.12915   123.65367   26.54206   1.1   0.3   -40    7    92
 60.76817   87.74304   124.78897   25.60322   0.6   0.3    32   10   165
 60.92610   87.64957   124.86972   25.54430   0.9   0.2    39    7   171
 61.17171   87.01984   125.38967   25.12496   1.8   0.6    -8   14   124
 61.43046   88.97286   123.79205   26.44599   0.9   0.4   -28   10   103
 61.65969   87.42346   125.07805   25.41488   0.8   0.3    54    8     6
 61.77370   88.97249   123.79692   26.45034   0.8   0.3   -40    8    90
 62.63766   87.75867   124.83053   25.66820   1.9   0.7    -2    7   128
 63.14524   88.82854   123.93775   26.37616   0.6   0.2   -40    9    89
 63.31410   88.31070   124.38176   26.04527   0.7   0.3    31    9   161
 63.67461   87.88533   124.75210   25.78046   0.9   0.3     6    8   136
 64.03868   87.34998   125.21823   25.44856   1.2   0.3   -19    8   110
 65.10495   87.35396   125.24939   25.48920   0.9   0.2    -5    6   123
 65.34983   89.21569   123.62802   26.64898   0.5   0.2   -28   10    99
 65.52662   88.77784   124.01666   26.38292   0.9   0.3   -39    7    87
 65.85067   87.86307   124.82766   25.82927   0.8   0.3    35    8   163
 65.94108   87.72489   124.95123   25.74726   1.2   0.3    -1    6   126
 66.70140   88.02690   124.70360   25.95301   1.0   0.3   -14    8   112
 66.96311   88.62233   124.17695   26.31502   1.1   0.3    48    9   175
 67.19322   88.01725   124.72349   25.96085   1.3   0.3     4    5   130
 67.42559   88.23095   124.53686   26.09352   0.8   0.3    36    8   162
 67.58115   87.34608   125.33365   25.57514   0.7   0.2     7   10   133
 68.28821   87.65678   125.07459   25.78244   0.7   0.3    32    9   157
 68.90849   86.72438   125.93630   25.26707   1.4   0.2    66    4    12
 69.27048   87.84752   124.92554   25.92340   1.2   0.4    56   11     0
 69.39855   86.84541   125.84409   25.35902   1.0   0.3    49    7   174
 70.22118   87.88847   124.90978   25.97562   0.7   0.3    15   10   138
