# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ2135.6+5742 323.900512695 57.7131004333 0.14049 6.405 4.844 3.831
3FGLJ2138.2-4939 324.554412842 -49.6557006836 0.00207 0.093 0.070 0.055
3FGLJ2139.5+3919 324.897186279 39.3237991333 0.0207 0.942 0.712 0.563
3FGLJ2142.6-2029 325.656402588 -20.4986991882 0.00288 0.132 0.100 0.079
3FGLJ2142.7+1957 325.681793213 19.9575004578 0.00927 0.421 0.318 0.252
3FGLJ2144.6-5640 326.154510498 -56.679599762 0.00288 0.131 0.099 0.078
3FGLJ2144.6+6606 326.162689209 66.1036987305 0.09603 4.377 3.310 2.618
3FGLJ2145.5+1007 326.376495361 10.1302995682 0.00504 0.231 0.175 0.138
3FGLJ2147.2+4730c 326.810211182 47.5153999329 0.09531 4.344 3.285 2.598
3FGLJ2150.5-1754 327.639587402 -17.9106006622 0.00369 0.167 0.126 0.100
3FGLJ2151.6+4154 327.903198242 41.90599823 0.02556 1.165 0.881 0.697
3FGLJ2153.9+6626 328.485992432 66.4477996826 0.06417 2.925 2.212 1.750
3FGLJ2200.0-6930 330.023986816 -69.5036010742 0.00279 0.126 0.095 0.075
3FGLJ2205.9-4704 331.476104736 -47.0812988281 0.00117 0.054 0.041 0.032
3FGLJ2206.5+6451 331.628814697 64.8564987183 0.09846 4.487 3.393 2.684
3FGLJ2209.0+3652 332.26739502 36.8689002991 0.01332 0.607 0.459 0.363
3FGLJ2209.8-0450 332.467102051 -4.84980010986 0.00594 0.271 0.205 0.162
3FGLJ2210.1+5925 332.526092529 59.4211997986 0.12816 5.841 4.417 3.494
3FGLJ2210.1+6043 332.531402588 60.7248001099 0.09216 4.203 3.179 2.514
3FGLJ2210.2+6509 332.553009033 65.1636962891 0.06885 3.136 2.371 1.876
3FGLJ2212.5+0703 333.147003174 7.05980014801 0.00594 0.268 0.202 0.160
3FGLJ2215.5+6122 333.876800537 61.379699707 0.20007 9.120 6.897 5.455
3FGLJ2217.2+6346 334.307006836 63.7737998962 0.13419 6.115 4.624 3.658
3FGLJ2217.8+3207 334.461608887 32.1316986084 0.0072 0.327 0.247 0.195
3FGLJ2220.6-6833 335.150512695 -68.5544967651 0.0027 0.121 0.091 0.072
3FGLJ2221.6+6507 335.414215088 65.1272964478 0.06615 3.017 2.282 1.805
3FGLJ2221.7+6318 335.435302734 63.3030014038 0.38061 17.345 13.116 10.376
3FGLJ2223.3+0103 335.837799072 1.05180001259 0.00576 0.265 0.201 0.159
3FGLJ2224.4+0351 336.101806641 3.85940003395 0.00945 0.429 0.324 0.256
3FGLJ2228.5-1636 337.148590088 -16.6016998291 0.0027 0.123 0.093 0.073
3FGLJ2229.1+2255 337.283294678 22.9288005829 0.00432 0.198 0.150 0.118
3FGLJ2233.1+6542 338.278900146 65.7147979736 0.29934 13.640 10.314 8.159
3FGLJ2237.5-8326 339.391113281 -83.4372024536 0.02862 1.303 0.985 0.779
3FGLJ2237.9+6320 339.481994629 63.3339996338 0.07848 3.575 2.703 2.139
3FGLJ2244.6+2503 341.160491943 25.0506000519 0.00549 0.252 0.191 0.151
3FGLJ2247.2-0004 341.811889648 -0.0718000009656 0.00702 0.320 0.242 0.191
3FGLJ2249.3-5943 342.347991943 -59.7225990295 0.00189 0.084 0.063 0.050
3FGLJ2250.3+1747 342.580688477 17.7957992554 0.00612 0.282 0.214 0.169
3FGLJ2250.6+3308 342.673187256 33.141998291 0.01008 0.459 0.347 0.274
3FGLJ2253.1-1237 343.296813965 -12.6281003952 0.00324 0.150 0.114 0.090
3FGLJ2254.1+6229 343.547393799 62.4968986511 0.22158 10.099 7.637 6.041
3FGLJ2254.6+4253 343.657012939 42.8883018494 0.02214 1.009 0.763 0.603
3FGLJ2258.2-3645 344.561706543 -36.75 0.00135 0.060 0.045 0.036
3FGLJ2258.8+2437 344.724212646 24.6236991882 0.00963 0.438 0.331 0.262
3FGLJ2259.9-1553 344.996307373 -15.896900177 0.00252 0.115 0.087 0.069
3FGLJ2300.0+4053 345.024200439 40.8928985596 0.00918 0.417 0.315 0.249
3FGLJ2300.1-3547 345.042602539 -35.7877006531 0.00126 0.055 0.041 0.033
3FGLJ2303.7+5555 345.944213867 55.9168014526 0.03834 1.749 1.323 1.046
3FGLJ2305.8+1658 346.472595215 16.9775009155 0.00927 0.424 0.321 0.254
3FGLJ2309.0+5428 347.25201416 54.4758987427 0.0315 1.435 1.085 0.859
3FGLJ2310.1-0557 347.546295166 -5.95170021057 0.00315 0.143 0.108 0.086
3FGLJ2313.1+3935 348.277008057 39.5862998962 0.00837 0.381 0.288 0.228
3FGLJ2318.6-3829 349.665802002 -38.4967002869 0.00153 0.072 0.055 0.043
3FGLJ2321.3+5113 350.345306396 51.2210006714 0.02385 1.087 0.822 0.650
3FGLJ2321.6-1619 350.405090332 -16.3313007355 0.00225 0.102 0.077 0.061
3FGLJ2323.7+2523 350.946990967 25.3876991272 0.00414 0.188 0.142 0.112
3FGLJ2327.2-4130 351.824798584 -41.5080986023 0.00126 0.060 0.046 0.036
3FGLJ2329.8+6102 352.456695557 61.0401992798 0.07659 3.491 2.640 2.088
3FGLJ2331.9-1609 352.991912842 -16.156999588 0.00207 0.095 0.072 0.057
3FGLJ2333.0-5525 353.26361084 -55.4264984131 0.00108 0.048 0.036 0.029
3FGLJ2334.4-7948 353.607696533 -79.8041000366 0.00612 0.277 0.209 0.166
3FGLJ2335.6-2342 353.900512695 -23.7131004333 0.0018 0.082 0.062 0.049
3FGLJ2337.2-8425 354.31350708 -84.4224014282 0.01269 0.581 0.440 0.348
3FGLJ2337.5+4108 354.393798828 41.1385993958 0.01098 0.502 0.380 0.300
3FGLJ2338.7+0251 354.694091797 2.85669994354 0.00657 0.299 0.226 0.179
3FGLJ2340.7+3847 355.187988281 38.7965011597 0.00981 0.446 0.337 0.267
3FGLJ2343.0-4748 355.763397217 -47.8019981384 0.00099 0.045 0.034 0.027
3FGLJ2344.9-5647 356.225402832 -56.7896995544 0.00108 0.047 0.035 0.028
3FGLJ2351.9-7601 357.981506348 -76.0300979614 0.00333 0.152 0.115 0.091
3FGLJ2353.3+6639 358.337188721 66.6592025757 0.10971 5.001 3.782 2.991
3FGLJ2354.0+2722 358.501800537 27.3731002808 0.00306 0.140 0.106 0.084
3FGLJ2354.4-6612 358.601898193 -66.2029037476 0.00189 0.085 0.064 0.051
3FGLJ2354.8-5245 358.702209473 -52.7634010315 0.00135 0.060 0.045 0.036
3FGLJ2355.4+6939 358.863800049 69.6504974365 0.05472 2.494 1.886 1.492
3FGLJ2356.9+6812 359.238800049 68.2147979736 0.04212 1.919 1.451 1.148
3FGLJ2358.5+3827 359.634185791 38.4538993835 0.00981 0.445 0.336 0.266
3FGLJ2358.6-1809 359.665893555 -18.1585006714 0.00207 0.092 0.069 0.055
