# 3FGL               RA             DEC        PD[frac]  AB   AV   AR
3FGLJ0603.3+2042 90.8396987915 20.7164993286 0.12294 5.605 4.239 3.353
3FGLJ0605.0-0000 91.2714996338 -0.00889999978244 0.04518 2.060 1.558 1.232
3FGLJ0605.9+2039c 91.4768981934 20.6527996063 0.11934 5.437 4.111 3.252
3FGLJ0608.2-2306 92.064201355 -23.109500885 0.00342 0.155 0.117 0.093
3FGLJ0608.6+5328 92.1598968506 53.4832000732 0.02097 0.957 0.724 0.572
3FGLJ0609.2+2051c 92.3186035156 20.8628997803 0.21825 9.946 7.521 5.949
3FGLJ0609.6-2851 92.4176025391 -28.8628005981 0.00342 0.158 0.120 0.095
3FGLJ0609.7-1841 92.4261016846 -18.6933002472 0.00774 0.354 0.268 0.212
3FGLJ0611.5+1957 92.8990020752 19.9601993561 0.17352 7.907 5.979 4.730
3FGLJ0619.4+2242 94.87449646 22.7063007355 0.12438 5.669 4.287 3.391
3FGLJ0623.1-4143 95.7795028687 -41.7256011963 0.00477 0.215 0.162 0.128
3FGLJ0626.8+1743 96.7115020752 17.7317008972 0.03942 1.797 1.359 1.075
3FGLJ0628.4+2429 97.1230010986 24.4979991913 0.0288 1.314 0.994 0.786
3FGLJ0630.2-0929c 97.5709991455 -9.49610042572 0.13383 6.097 4.610 3.647
3FGLJ0634.1+0424 98.5282974243 4.4061999321 0.53775 24.509 18.534 14.661
3FGLJ0636.7+7115 99.1913986206 71.2631988525 0.01467 0.670 0.507 0.401
3FGLJ0637.5+0418 99.3834991455 4.31500005722 0.10152 4.625 3.497 2.767
3FGLJ0638.4+5704 99.6050033569 57.0742988586 0.00477 0.217 0.164 0.130
3FGLJ0639.9+3250 99.987701416 32.8394012451 0.01179 0.535 0.404 0.320
3FGLJ0641.1+1004 100.286003113 10.0832996368 0.12105 5.516 4.171 3.300
3FGLJ0644.6+6035 101.151901245 60.5910987854 0.00648 0.293 0.221 0.175
3FGLJ0647.6+0032 101.913398743 0.534500002861 0.0774 3.528 2.668 2.111
3FGLJ0647.8+1751 101.962303162 17.8514003754 0.01332 0.604 0.456 0.361
3FGLJ0650.9+6524 102.748497009 65.4148025513 0.00414 0.191 0.145 0.114
3FGLJ0657.6-4701 104.424003601 -47.0262985229 0.0081 0.368 0.278 0.220
3FGLJ0658.8+2318 104.719703674 23.3145999908 0.00504 0.228 0.172 0.136
3FGLJ0659.2-0439c 104.802200317 -4.65259981155 0.28458 12.972 9.810 7.760
3FGLJ0700.6+3557 105.161697388 35.9664993286 0.00621 0.285 0.216 0.171
3FGLJ0704.1-1043 106.034500122 -10.7217998505 0.18972 8.649 6.541 5.174
3FGLJ0704.3-4828 106.074996948 -48.4751014709 0.00738 0.335 0.253 0.201
3FGLJ0705.7-0006 106.43800354 -0.112700000405 0.03816 1.739 1.315 1.040
3FGLJ0707.5-3111 106.887199402 -31.1970005035 0.01485 0.675 0.510 0.404
3FGLJ0707.7-1035c 106.927497864 -10.5922002792 0.0918 4.183 3.163 2.502
3FGLJ0708.7+1747 107.196296692 17.7940998077 0.01161 0.530 0.401 0.317
3FGLJ0711.1-1037 107.793899536 -10.6211996078 0.09549 4.352 3.291 2.603
3FGLJ0712.2-3806 108.051902771 -38.1104011536 0.03438 1.567 1.185 0.937
3FGLJ0714.7-3924 108.677200317 -39.4085998535 0.02709 1.234 0.933 0.738
3FGLJ0716.0-4525 109.010803223 -45.4221000671 0.01035 0.471 0.356 0.282
3FGLJ0718.9-5004 109.738098145 -50.0793991089 0.01197 0.545 0.412 0.326
3FGLJ0721.5-0221 110.375396729 -2.36159992218 0.00936 0.426 0.322 0.255
3FGLJ0722.2-2648 110.551002502 -26.8036994934 0.03033 1.384 1.047 0.828
3FGLJ0725.4-5007 111.370796204 -50.1197013855 0.01476 0.672 0.508 0.402
3FGLJ0725.7-0550 111.440696716 -5.8422999382 0.01566 0.714 0.540 0.427
3FGLJ0725.8-3532 111.45929718 -35.5373001099 0.03492 1.593 1.205 0.953
3FGLJ0725.8+0212 111.468101501 2.20679998398 0.01296 0.592 0.448 0.354
3FGLJ0731.7-1914c 112.943901062 -19.2369995117 0.42687 19.457 14.714 11.639
3FGLJ0731.8-3010 112.973899841 -30.1767997742 0.02943 1.341 1.014 0.802
3FGLJ0733.3+5904 113.32800293 59.0667991638 0.00441 0.201 0.152 0.120
3FGLJ0737.2-3233 114.314002991 -32.5587997437 0.05049 2.303 1.742 1.378
3FGLJ0737.8-8245 114.461502075 -82.7610015869 0.0153 0.699 0.529 0.418
3FGLJ0739.8+1312 114.974197388 13.2109003067 0.00441 0.201 0.152 0.120
3FGLJ0740.6-5230 115.161598206 -52.5041999817 0.02016 0.918 0.694 0.549
3FGLJ0742.7-3110 115.693603516 -31.1739006042 0.05121 2.334 1.765 1.396
3FGLJ0744.1-2523 116.044700623 -25.3994007111 0.05868 2.672 2.020 1.598
3FGLJ0744.3+1715 116.082000732 17.2558994293 0.00288 0.130 0.098 0.078
3FGLJ0746.4-0225 116.618499756 -2.42210006714 0.0054 0.248 0.188 0.148
3FGLJ0747.4-0734 116.862800598 -7.58010005951 0.00855 0.390 0.295 0.233
3FGLJ0747.5-4927 116.889701843 -49.4584007263 0.02151 0.980 0.741 0.586
3FGLJ0748.7-5116 117.178497314 -51.279499054 0.03321 1.515 1.146 0.906
3FGLJ0748.8-2208 117.202102661 -22.1347007751 0.0783 3.567 2.697 2.133
3FGLJ0749.0+4459 117.265403748 44.9868011475 0.00333 0.152 0.115 0.091
3FGLJ0749.5+1320 117.397796631 13.3402004242 0.00243 0.112 0.085 0.067
3FGLJ0751.7-2944 117.938301086 -29.7341995239 0.06237 2.842 2.149 1.700
3FGLJ0752.6-1629 118.152000427 -16.489200592 0.01143 0.522 0.395 0.312
3FGLJ0755.2-2633 118.801696777 -26.5615005493 0.04383 1.998 1.511 1.195
3FGLJ0757.5-0536 119.396202087 -5.60629987717 0.00594 0.268 0.202 0.160
3FGLJ0758.6-1451 119.656402588 -14.8661003113 0.0081 0.369 0.279 0.221
3FGLJ0800.6-4806 120.174301147 -48.1147003174 0.02241 1.022 0.773 0.611
3FGLJ0802.3-5610 120.582901001 -56.168800354 0.02187 0.995 0.752 0.595
3FGLJ0802.3-0941 120.589897156 -9.69600009918 0.00648 0.296 0.224 0.177
3FGLJ0810.5-5214 122.630096436 -52.2472991943 0.04977 2.269 1.716 1.357
3FGLJ0813.5-0356 123.38710022 -3.93880009651 0.00423 0.195 0.148 0.117
3FGLJ0816.1-5044 124.027801514 -50.7484016418 0.054 2.459 1.859 1.471
3FGLJ0818.0+3237 124.523902893 32.6301002502 0.00324 0.148 0.112 0.089
3FGLJ0823.3-4205c 125.848197937 -42.0928993225 0.86364 39.359 29.763 23.544
3FGLJ0823.6-4838 125.913497925 -48.6366004944 0.06426 2.931 2.217 1.754
3FGLJ0826.3-5056 126.588500977 -50.9477996826 0.06795 3.098 2.343 1.853
3FGLJ0826.3-6400 126.59349823 -64.0109024048 0.01404 0.640 0.484 0.383
3FGLJ0829.8-5239 127.46849823 -52.6585998535 0.04869 2.218 1.677 1.327
3FGLJ0830.5-4452 127.6352005 -44.8689002991 0.15192 6.921 5.233 4.140
3FGLJ0830.8+2629 127.704200745 26.4911003113 0.00378 0.171 0.129 0.102
3FGLJ0832.8-4321 128.214599609 -43.3568000793 0.27243 12.416 9.389 7.427
3FGLJ0834.5-4825 128.633605957 -48.4224014282 0.07722 3.518 2.660 2.104
3FGLJ0834.6+6101 128.674194336 61.0215988159 0.00441 0.201 0.152 0.121
3FGLJ0838.8-2829 129.704101562 -28.489200592 0.01341 0.612 0.463 0.366
3FGLJ0838.9-4056c 129.744903564 -40.9378013611 0.29862 13.612 10.294 8.143
3FGLJ0839.6-4133 129.92010498 -41.5555000305 0.2268 10.337 7.817 6.183
3FGLJ0843.4+6713 130.85899353 67.2181015015 0.00288 0.129 0.097 0.077
3FGLJ0844.3-4741 131.082305908 -47.6839981079 0.11961 5.453 4.124 3.262
