col1,col2,_r,USNO-B1.0,Tycho-2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Epoch,pmRA,pmDE,muPr,e_pmRA,e_pmDE,fit_RA,fit_DE,Ndet,Flags,B1mag,B1C,B1S,B1f,B1s/g,B1xi,B1eta,R1mag,R1C,R1S,R1f,R1s/g,R1xi,R1eta,B2mag,B2C,B2S,B2f,B2s/g,B2xi,B2eta,R2mag,R2C,R2S,R2f,R2s/g,R2xi,R2eta,Imag,IC,IS,If,Is/g,Ixi,Ieta,Separation
198.131458333,-21.9398055556,1.02E-4,0680-0333123,,198.131412,-21.939898,93,47,1975.7,0,0,0,0,0,2,1,5,..Y,18.19,2,0,856,6,0.16,0.12,18.05,2,1,856,8,0.1,0.01,18.18,1,4,575,8,-0.1,-0.12,16.84,2,6,576,9,0.09,-0.06,16.08,2,8,576,,-0.28,0.03,1.0194618467989341E-4
198.212083333,-4.41386111111,7.0E-5,0855-0236322,,198.212014,-4.413848,152,54,1980.5,0,0,0,0,0,3,1,4,...,20.96,1,0,678,8,0.18,0.1,,,,,,,,18.7,1,4,790,9,-0.34,-0.03,19.29,1,5,790,2,0.19,0.03,19.09,1,8,790,,-0.05,-0.11,7.035975074026644E-5
198.682541667,23.8074444444,2.3E-5,1138-0201205,,198.682548,23.807467,37,145,1979.6,4,2,8,1,5,0,2,5,..Y,17.05,2,0,379,8,-0.01,-0.05,15.43,2,1,379,7,0.01,0.07,17.8,2,2,508,9,0.03,0.1,17.06,2,3,508,2,-0.07,-0.27,16.15,3,7,508,,0.01,0.11,2.3287910304014597E-5
199.033291667,-33.6497777778,1.04E-4,0563-0307447,,199.033406,-33.649737,16,37,1983.0,20,-8,9,0,1,0,0,5,...,17.36,2,0,912,3,0.0,0.01,17.72,2,5,382,8,-0.02,-0.01,18.1,2,4,382,8,0.0,-0.06,17.23,2,6,382,10,0.02,0.04,15.91,2,8,382,,-0.02,0.0,1.0354316062962432E-4
199.402041667,34.4210833333,7.8E-5,1244-0204675,,199.402062,34.421159,85,109,1973.6,0,0,0,0,0,1,2,5,..Y,17.35,2,0,269,8,0.13,-0.26,17.63,2,1,269,10,-0.28,0.33,19.14,2,2,382,1,0.05,-0.09,19.03,2,3,382,1,-0.04,0.02,18.62,2,7,382,,0.11,-0.04,7.7503394807777E-5
199.88225,14.0925277778,8.5E-5,1040-0211173,,199.882264,14.092612,42,130,1979.8,4,8,9,1,4,0,2,5,..Y,17.66,2,0,498,9,0.06,0.16,17.57,2,1,498,4,-0.07,-0.18,17.5,2,2,647,4,-0.02,0.06,17.59,2,3,647,1,0.02,0.07,17.02,2,7,647,,-0.01,-0.14,8.530978090283346E-5
200.296666667,22.2700277778,5.0E-5,1122-0255032,,200.296664,22.270078,111,63,1977.3,0,0,0,0,0,2,1,5,...,20.45,2,0,380,9,0.34,-0.06,19.89,2,1,380,3,-0.17,0.19,19.47,2,2,508,4,-0.2,-0.03,19.37,2,3,508,8,-0.03,-0.14,16.69,3,7,508,,0.04,0.0,5.028280727641684E-5
200.653791667,-9.62716666667,2.5E-5,0803-0265966,,200.653812,-9.627181,149,31,1976.9,0,0,0,0,0,3,0,5,...,18.55,1,0,678,6,0.1,-0.01,18.51,1,1,678,3,0.31,-0.1,19.19,1,4,719,8,0.13,0.01,19.32,1,5,719,7,-0.45,0.07,18.14,1,8,719,,-0.11,0.0,2.4643709159520296E-5
200.754166667,4.66427777778,7.5E-5,0946-0214418,,200.754092,4.664267,83,31,1980.9,0,0,0,0,0,1,0,5,...,18.61,1,0,558,2,0.05,0.02,16.34,1,1,558,3,0.1,-0.11,18.02,2,2,791,8,0.15,0.0,16.68,2,3,791,2,-0.26,0.01,15.02,1,7,791,,-0.05,0.05,7.51961163622078E-5
200.993166667,14.0998333333,9.7E-5,1040-0211831,,200.993189,14.099928,62,148,1979.8,10,4,8,2,5,0,2,5,..Y,18.1,2,0,498,3,0.09,-0.22,18.06,2,1,498,7,-0.1,0.22,18.45,2,2,647,9,0.01,-0.08,17.63,2,3,647,3,-0.03,-0.02,17.82,2,7,647,,0.0,0.08,9.711306170738779E-5
