#Name ranking RA DEC Semi_major Semi_minor Flux Var
3FGL J0212.1+5320,190.500164071,33.0371,53.336,0.0345,0.0338,1.35589e-08,51.4705
3FGL J1316.2-6446,187.639227519,199.063,-64.7696,0.1505,0.0885,7.40113e-08,106.085
3FGL J2112.5-3044,184.589627053,318.145,-30.7344,0.0356,0.0326,1.29822e-08,51.8415
3FGL J1616.8-5343,174.608386565,244.205,-53.7243,0.0893,0.065,6.31255e-08,50.44
3FGL J2038.4+4212,173.128554496,309.625,42.2085,0.0589,0.0535,3.75295e-08,45.6683
3FGL J1037.9-5843,168.669267768,159.488,-58.73,0.0937,0.0596,7.61177e-08,38.8764
3FGL J1831.7-0230,168.669253157,277.942,-2.5007,0.092,0.0855,1.34001e-07,31.105
3FGL J1739.9-3124c,168.000797002,264.99,-31.4029,0.0875,0.0581,5.56469e-08,48.2175
3FGL J1748.3-2815c,165.646366491,267.092,-28.2589,0.0303,0.0285,1.31939e-08,34.0601
3FGL J1240.3-7149,159.966587625,190.077,-71.8258,0.0521,0.0419,1.56493e-08,70.1031
3FGL J1928.9+1739,158.870847047,292.237,17.6567,0.0804,0.0581,4.87095e-08,47.8644
3FGL J1024.3-5757,158.825785703,156.085,-57.9515,0.0635,0.0472,4.54534e-08,32.9019
3FGL J1139.0-6244,158.370184988,174.751,-62.7368,0.0527,0.0411,3.65931e-08,29.4494
3FGL J1112.0-6135,156.70112046,168.017,-61.5842,0.0986,0.0677,5.89773e-08,55.7189
3FGL J0340.4+5302,156.590612842,55.1005,53.0484,0.1047,0.0964,1.06565e-07,46.5935
3FGL J1033.0-5945,154.767910871,158.266,-59.7513,0.052,0.0444,2.93024e-08,38.3102
3FGL J1856.1-1217,154.698871345,284.032,-12.2999,0.0685,0.0571,3.73636e-08,50.8762
3FGL J1721.8-3919,148.040205892,260.464,-39.3256,0.0938,0.0714,7.09629e-08,43.8934
3FGL J1548.4+1455,147.581918436,237.11,14.9256,0.0394,0.0388,1.05115e-08,67.4286
3FGL J2250.3+1747,143.717034715,342.581,17.7958,0.0911,0.0764,3.60973e-08,87.0552
3FGL J1447.3-5800,143.074075034,221.831,-58.0049,0.1195,0.0865,8.98353e-08,51.7187
3FGL J1705.5-4128c,142.456482515,256.396,-41.4809,0.1413,0.0838,1.17308e-07,45.1742
3FGL J1350.4-6224,139.498495207,207.622,-62.412,0.0404,0.0365,1.10959e-08,58.2414
