|             null|         null|        null|                 null|        null|        null|          null|          null|  null|           null|           null|       null|       null|       null|         null|            null|      null|          null|    null|        null|    null|       null|                 null|        null|        null|       null|  null|             null|       null|     null|     null|      null|    null|       null|       null|       null|        null|        null|       null|           null|        null|
   55508.212237200        19.659        0.247        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10742860002547   35.3623050   25.2426870        3831      8   55508.217897200         603    19.644    21.441     27.905    2.550       2.972           0      131072            0            1    10742860        0.089504   161.263523 
   55507.252827200        19.620        0.070        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10744772002408   35.3623100   25.2426760        3831      8   55507.258487200         602    19.615    21.341     27.927    2.650       3.393           0      131072            0            1    10744772        0.089504   161.263523 
   55507.417657200        19.713        0.078        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10744774002217   35.3622610   25.2426120        3831      8   55507.423327200         602    19.723    21.165     27.933    2.950       3.945           0      131072            0            1    10744774        0.089504   161.263523 
   55507.504307200        19.730        0.116        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10744857001544   35.3622730   25.2425990        3831      8   55507.509967200         602    19.742    20.252     27.859    4.850       7.341           0      131072            0            1    10744857        0.089504   161.263523 
   55506.431647200        19.547        0.077        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10748159002445   35.3622700   25.2426600        3831      8   55506.437307200         601    19.529    21.361     27.913    1.950       2.399           0      131072            0            1    10748159        0.089504   161.263523 
   55506.094197200        19.440        0.092        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10748190001967   35.3623410   25.2426850        3831      8   55506.099867200         601    19.451    20.790     27.847    2.750       3.132           0      131072            0            1    10748190        0.089504   161.263523 
   55504.092657200        19.513        0.094        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10734868001997   35.3622560   25.2426120        3831      8   55504.098327200         599    19.508    20.861     27.854    2.650       2.985           0      131072            0            1    10734868        0.089504   161.263523 
   55504.517207200        19.522        0.110        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10734885001731   35.3623190   25.2427350        3831      8   55504.522877200         599    19.502    20.667     27.811    2.550       3.430           0      131072            0            1    10734885        0.089504   161.263523 
   55506.257757200        19.483        0.073        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10748236002754   35.3622710   25.2427230        3831      8   55506.263427200         601    19.511    21.624     27.976    1.950       2.184           0      131072            0            1    10748236        0.089504   161.263523 
   55506.347627200        19.489        0.069        38312080004498   35.3623290   25.2426960   02h21m26.96s   25d14m33.71s      2               0    2.940302e-07         174         169         165        19.554            0.014     19.777         19.779   19.789       19.794    0.235       0.235        10748442002805   35.3622180   25.2426700        3831      8   55506.353297200         601    19.495    21.816     27.963    1.550       1.863           0      131072            0            1    10748442        0.089504   161.263523 
