#  Ignore the first 4 columns because those are p and m from data directly and from an optimizer without an error. The relevant columns are 
#  p_o,sigma_p_low,sigma_p_high,plimit,m,sigma_m_low,sigma_m_high,mlimit
#sourcename data_p data_m opt_p opt_m p_o sigma_p_low sigma_p_high plimit m sigma_m_low sigma_m_high mlimit Nobs
RBPLJ1517-2422 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1526+6650 0.01205 0.005868106 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1540+1447 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1542+6129 0.06519032 0.4402552 0.06501668 0.4432553 0.065 0.005 0.005 NA 0.443 0.056 0.069 NA 31 
RBPLJ1548-2251 0.0143 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1550+0527 0.0327 0.5622256 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1551+5806 0.01751538 0.5663378 0.01284728 0.2372454 0.013 0.001 0.001 NA 0.231 NA NA 0.695 26 
RBPLJ1553+1256 0.01281667 1.050689 NA NA NA NA NA NA NA NA NA NA 30 
RBPLJ1555+1111 0.03422157 0.5122384 0.03358662 0.493027 0.034 0.002 0.001 NA 0.492 0.051 0.061 NA 51 
RBPLJ1558+5625 0.06477353 0.5029851 0.0635104 0.4959784 0.064 0.006 0.005 NA 0.495 0.064 0.079 NA 34 
RBPLJ1603+5730 0.01024 0.5996103 NA NA NA NA NA NA NA NA NA NA 15 
RBPLJ1604+5714 0.032336 0.7086159 0.02422413 0.8359171 0.024 0.005 0.006 NA 0.84 0.254 0.367 NA 25 
RBPLJ1607+1551 0.085564 0.4526661 0.0537764 0.006476473 0.054 0.013 0.012 NA 0.008 NA NA 3.968 25 
RBPLJ1608+1029 0.01705 0.5184067 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1623+6624 0.0163 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1623+6644 0.0307 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1624+5652 0.07962222 0.4164169 0.0743599 0.3948604 0.074 0.008 0.009 NA 0.396 0.094 0.12 NA 18 
RBPLJ1635+3808 0.07687843 0.6563 0.07697391 0.679903 0.077 0.007 0.008 NA 0.68 0.072 0.084 NA 51 
RBPLJ1637+4717 0.06323333 0.5484884 0.05108451 0.2396697 0.051 0.021 0.045 NA 0.239 NA NA 2.063 3 
RBPLJ1638+5720 0.008941667 0.6308487 0.005139338 1.138713 0.005 NA NA 0.024 1.165 0.596 1.528 NA 24 
RBPLJ1640+3946 0.0393 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1642+3948 0.05294348 0.3547607 0.04714309 0.1637897 0.047 0.004 0.004 NA 0.165 NA NA 0.388 23 
RBPLJ1643-0646 0.0121 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1649+5235 0.05134 0.5967297 0.0507551 0.572409 0.051 0.005 0.005 NA 0.572 0.072 0.088 NA 30 
RBPLJ1653+3945 0.0368 0.3504436 0.03648952 0.3155635 0.036 0.001 0.002 NA 0.316 0.032 0.037 NA 51 
RBPLJ1722+1013 0.3331 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1725+1152 0.0962975 0.3761593 0.09581129 0.4304909 0.096 0.006 0.006 NA 0.43 0.046 0.056 NA 40 
RBPLJ1727+4530 0.0925 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1727+5510 0.063525 0.6048599 NA NA NA NA NA NA NA NA NA NA 4 
RBPLJ1728+0427 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1728+5013 0.02548 0.4362612 0.02404118 0.4247194 0.024 0.004 0.005 NA 0.425 0.14 0.209 NA 10 
RBPLJ1733-1304 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1739+4955 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1743+1935 0.02894444 0.5453404 0.02714494 0.5789901 0.027 0.006 0.008 NA 0.58 0.188 0.309 NA 9 
RBPLJ1745-0753 0.1285 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1748+7005 0.1063311 0.4748127 0.1059725 0.4900959 0.106 0.007 0.008 NA 0.49 0.046 0.054 NA 45 
RBPLJ1749+4321 0.2058 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1751+0939 0.08770204 0.6257612 0.08669218 0.6065808 0.087 0.007 0.007 NA 0.606 0.056 0.066 NA 49 
RBPLJ1754+3212 0.04566452 0.4899806 0.04533612 0.4745954 0.045 0.003 0.004 NA 0.475 0.067 0.081 NA 31 
RBPLJ1800+3848 0.012075 0.6480722 NA NA NA NA NA NA NA NA NA NA 16 
RBPLJ1800+7828 0.10127 0.4052314 0.1009368 0.3844973 0.101 0.007 0.007 NA 0.384 0.046 0.057 NA 30 
RBPLJ1803+2521 NaN NA NA NA NA NA NA NA NA NA NA NA 0 
RBPLJ1806+6949 0.04087179 0.5594214 0.04025236 0.6037393 0.04 0.003 0.004 NA 0.604 0.072 0.086 NA 39 
RBPLJ1809+2041 0.04308214 0.4838799 0.03873223 0.4762053 0.039 0.004 0.004 NA 0.475 0.103 0.134 NA 28 
RBPLJ1813+0615 0.11415 0.6745854 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1813+3144 0.04347037 0.5564395 0.04299278 0.5251572 0.043 0.004 0.004 NA 0.525 0.076 0.094 NA 27 
RBPLJ1823+7938 0.02235 0.2652933 NA NA NA NA NA NA NA NA NA NA 4 
RBPLJ1824+5651 0.0343 0.2102767 NA NA NA NA NA NA NA NA NA NA 2 
RBPLJ1835+3241 0.0086125 0.9583603 NA NA NA NA NA NA NA NA NA NA 16 
RBPLJ1836+3136 0.089484 0.3860764 0.08689494 0.3964246 0.087 0.007 0.007 NA 0.396 0.058 0.073 NA 25 
RBPLJ1838+4802 0.07778571 0.302552 0.07756666 0.2928868 0.078 0.005 0.004 NA 0.293 0.038 0.047 NA 28 
RBPLJ1841+3218 0.03834583 0.4353292 0.0357296 0.2166334 0.036 0.005 0.004 NA 0.21 NA NA 0.684 24 
RBPLJ1844+5709 0.0389 NA NA NA NA NA NA NA NA NA NA NA 1 
RBPLJ1848+3244 0.0523 NA NA NA NA NA NA NA NA NA NA NA 1 
